year,location,mileage,engine_capacity,transmission,service_history,drive_type,regional_specs,owners,fuel_type,cylinders,doors,seats,condition,modifications,name,aed_price,colour
2019,Al Rigga,"79,999",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Perfect inside out,N/A,Used Nissan Kicks 2019,"45,000",Gray
2008,Mussafah Residential &amp; Commercial Area,"232,000",2356,CVT,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Honda CR-V EX Plus AWD 2008,"21,500",White
2022,Dubai,0,1600,Automatic,N/A,Drive,Other Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Kia Sportage 2022,"90,000",Red
2022,Dubai,0,1600,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Diesel,4,5,5 Seater,Perfect inside out,N/A,New Hyundai Tucson 2022,"100,000",Black
2022,Dubai,0,1600,Automatic,N/A,Drive,Other Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Kia Sportage 2022,"90,000",Brown
2022,Dubai,17,2000,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Cadillac XT5  2.0T Premium Luxury 2022,"135,000",Beige
2023,Dubai,0,1199,Automatic,N/A,2 Wheel Drive (2WD),Other Specs,N/A,Petrol,3,5,4 Seater,Perfect inside out,N/A,New Peugeot 208 1.2T Active 2023,"70,000",Red
2022,Dubai,0,2000,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Cadillac XT5  2022,"150,000",Blue
2014,Sharjah Airport Free Zone,"228,000",3500,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,N/A,N/A,Used Mercedes-Benz E-Class E 350 2014,"44,000",Gray
2015,Sharjah,"142,626",2400,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,4,5,N/A,Perfect inside out,N/A,Used Nissan Rogue 2015,"26,000",Gray
2023,Dubai,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Haval Jolion 1.5T High Deluxe 181 hp 2023,"74,500",Black
2023,Dubai,0,3800,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,8 Seater,Perfect inside out,N/A,New Hyundai Palisade 3.8L GDi GLS Royal AWD   2023,"188,500",Black
2019,Al Rigga,"79,999",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Perfect inside out,N/A,Used Nissan Kicks 2019,"45,000",Gray
2008,Mussafah Residential &amp; Commercial Area,"232,000",2356,CVT,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Honda CR-V EX Plus AWD 2008,"21,500",White
2016,Al Jarf,"151,000",3956,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,2,8+ Seater,Perfect inside out,N/A,Used Toyota Land Cruiser Pick Up  4.0L Single Cab 2016,"84,000",Gray
2013,Al Jarf,"187,000",5552,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,4,8 Seater,Perfect inside out,N/A,Used Nissan Patrol  5.6L LE Platinum 2013,"94,000",Gray
2014,Al Jarf,"175,000",3000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport  Supercharged 2014,"139,000",White
2017,Al Quoz,"89,000",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Chevrolet Cruze  1.8 LT Premium 2017,"32,500",Black
2012,Sharjah,"89,000",1600,Manual,N/A,Drive,Japanese Specs,N/A,Petrol,4,2,2 Seater,Perfect inside out,N/A,Used Peugeot RCZ 2012,"46,000",Black
2020,Sharjah,"101,000",1500,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Mitsubishi Eclipse Cross 2020,"56,000",White
2016,Sharjah,"176,000",1600,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Renault Duster  2016,"22,000",Black
2020,Dubai,"19,000",3500,Automatic,N/A,All Wheel Drive,Japanese Specs,N/A,Petrol,6,4,N/A,Perfect inside out,N/A,Used Mercedes-Benz GLC-Class GLC 300 2020,"130,000",White
2023,Dubai,0,2400,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Diesel,4,4,N/A,Perfect inside out,N/A,New Toyota Hilux 2.4L Double Cab DLS M/T 4x2 2023,"115,000",White
2023,Dubai,0,N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,7 Seater,Perfect inside out,N/A,New Hyundai Venue 2023,"67,500",Gray
2023,Dubai,0,5552,Automatic,N/A,All Wheel Drive,Japanese Specs,N/A,Petrol,8,5,8 Seater,Perfect inside out,N/A,New Nissan Patrol 5.6L LE Titanium 2023,"255,000",Black
2021,Al Quoz,"28,000",3597,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Volkswagen Teramont  3.6L Trendline (AWD) 2021,"144,500",Blue
2016,Sharjah,"131,000",N/A,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,8 Seater,Perfect inside out,N/A,Used Cadillac ESCALADE 2016,"145,000",White
2019,Sharjah,"18,000",N/A,Automatic,N/A,Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Dodge RAM 2019,"68,000",Gray
2020,Sharjah,"17,000",3800,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,6,5,8 Seater,Perfect inside out,N/A,Used Kia Telluride 3.8L V6 SX AWD   2020,"99,000",White
2015,Sharjah,"83,000",5000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover 5.0L HSE 2015,"110,000",Silver
2016,Dubai,"108,589",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,N/A,N/A,Used Nissan Maxima 2016,"64,222",White
2014,Dubai,"175,892",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,Used Mitsubishi Outlander 2014,"34,199",Brown
2015,Dubai,"95,214",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Mitsubishi Outlander 2015,"49,799",Silver
2016,Dubai,"156,575",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Mazda 6 2016,"41,699",Silver
2023,Dubai,0,N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,7 Seater,Perfect inside out,N/A,New Hyundai Venue 2023,"67,500",Gray
2010,Al Saja,"187,000",N/A,Automatic,Yes,Front Wheel Drive,American Specs,N/A,Petrol,6,4,N/A,Minor wear and tear,N/A,Used Lexus IS250 2010,"23,500",White
2018,Al Saja,"114,562",1600,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Minor wear and tear,No,Used Hyundai Accent  1.6L 2018,"26,500",Silver
2017,Al Saja,"89,762",1999,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Minor wear and tear,No,Used Hyundai Elantra  2.0L Comfort 2017,"24,500",Black
2017,Jurf,"217,778",1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Toyota Yaris Sedan  1.5 SE 2017,"31,999",White
2020,Sharjah,"316,000",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Toyota Camry 2020,"70,000",Silver
2023,Ras Al Khor,0,N/A,Automatic,N/A,Drive,Canadian Specs,N/A,Petrol,4,5,N/A,Perfect inside out,N/A,New Lexus RX 350 2023,Call for Price,White
2023,Ras Al Khor,0,N/A,Automatic,N/A,All Wheel Drive,European Specs,N/A,Petrol,8,4,9 Seater,Perfect inside out,N/A,New Chevrolet Tahoe 2023,Call for Price,Black
2023,Ras Al Khor,0,N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,New Toyota Camry 2023,Call for Price,White
2017,Sharjah,"201,000",N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Toyota Yaris 2017,"32,000",White
2013,Mirdiff,"235,000",2000,CVT,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,6 Seater,Perfect inside out,N/A,Used BMW X1  xDrive 20i 2013,"38,000",Silver
2005,Al Qusais,"168,000",2488,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan X-Trail  4WD 2005,"41,900",White
2015,Dubai,"183,996",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,Used Hyundai Tucson 2015,"39,899",Red
2017,Dubai,"69,000",N/A,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,N/A,5,5 Seater,Perfect inside out,N/A,Used Infiniti QX50 2017,"69,000",White
2022,Dubai,"7,000",3500,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Maserati Ghibli 2022,"195,000",Black
2018,Dubai,"100,000",2400,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Kia Optima 2018,"44,000",White
2013,Souq Al Haraj,"89,373",N/A,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,4,N/A,Perfect inside out,N/A,Used Lexus RX 350 2013,"54,900",Silver
2016,Souq Al Haraj,"73,000",N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used JAC M5 2016,"29,000",Silver
2017,Dubai,"91,815",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Renault Duster 2017,"36,799",Black
2020,Dubai,"12,173",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,Used Renault Duster 2020,"55,399",Blue
2021,Dubai,"103,371",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Nissan Sunny 2021,"36,599",Brown
2020,Dubai,"54,516",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,N/A,N/A,Used Mitsubishi Pajero 2020,"77,499",Silver
2015,Al Qusais,"168,000",2488,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan X-Trail  4WD 2015,"43,000",White
2020,Mirdiff,"63,000",3800,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,8 Seater,N/A,N/A,Used Kia Telluride 2020,"81,000",Green
2010,Souq Al Haraj,"708,998",4,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Diesel,4,2,N/A,Perfect inside out,N/A,Used Mitsubishi Rosa 2010,"46,000",White
2012,Souq Al Haraj,"790,000",4200,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Diesel,6,3,30 Seater,Perfect inside out,N/A,Used Toyota Coaster  4.2L (30-Seater) 2012,"76,000",White
2020,Dubai,"21,000",2400,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,4 Seater,Perfect inside out,N/A,Used Kia Optima 2.4L EX 2020,"46,000",Red
2019,Dubai,"51,000",2400,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,4,4,7 Seater,Perfect inside out,N/A,Used Kia Sportage 2.4L GDI LX AWD   2019,"43,000",White
2020,Dubai,"51,000",N/A,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,4 Seater,Perfect inside out,N/A,Used Kia Sportage 2020,"45,000",Silver
2016,Al Quoz,"158,500",2998,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Mitsubishi Montero Sport 3.0L GLS 2WD  2016,"52,500",White
2016,Al Quoz,"166,900",2500,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan Altima 2.5 SL 2016,"38,500",Tan
2017,Al Quoz,"89,000",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Chevrolet Cruze  1.8 LT Premium 2017,"32,500",Black
2017,Souq Al Haraj,"155,000",3600,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Porsche Cayenne  Platinum Edition 2017,"165,000",White
2016,Al Jarf,"174,000",3500,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Lexus IS F 2016,"73,000",Gray
2022,Ras Al Khor,0,1500,Automatic,N/A,Front Wheel Drive,European Specs,N/A,Petrol,3,4,5 Seater,Perfect inside out,N/A,New Toyota Corolla 2022,"53,000",White
2021,Souq Al Haraj,"18,000",3500,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Toyota Tacoma 2021,"135,000",Red
2020,Souq Al Haraj,"110,000",3000,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport 2020,"250,000",Burgundy
2021,Souq Al Haraj,"39,000",3605,Manual,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Jeep Wrangler Unlimited 3.6L V6 Sport  2021,"125,000",Red
2022,Ras Al Khor,0,4000,Automatic,N/A,All Wheel Drive,European Specs,N/A,Petrol,8,4,N/A,Perfect inside out,No,New Mercedes-Benz G 63 AMG 2022,"875,000",Black
2015,Souq Al Haraj,"227,000",3000,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used BMW X6 2015,"115,000",White
2022,Ras Al Khor,0,4000,Automatic,N/A,All Wheel Drive,European Specs,N/A,Petrol,8,N/A,5 Seater,Perfect inside out,N/A,New Bentley Bentayga 4.0L V8  2022,"1,179,000",Blue
2023,Al Awir,0,4400,Automatic,N/A,All Wheel Drive,European Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,New Land Rover Range Rover SV Autobiography 2023,"1,005,000",White
2023,Sharjah Airport Free Zone,"5,187",3342,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,N/A,N/A,Used Genesis G70 3.3T Royal 2023,"160,000",White
2018,Sharjah,"90,000",1991,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz CLA-Class CLA 250 4MATIC 2018,"75,000",Red
2016,Al Jarf,"174,000",3500,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Lexus IS F 2016,"73,000",Gray
2016,Souq Al Haraj,"158,000",0,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,8,2,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz S-Class Coupe  S 550 2016,"188,000",Green
2022,Al Mamzar,"10,000",N/A,Automatic,N/A,Drive,American Specs,1,Petrol,6,4,7 Seater,Perfect inside out,N/A,Used Mercedes-Benz GL 63 AMG 2022,"259,000",White
2019,Souq Al Haraj,"10,535",N/A,Manual,N/A,Rear Wheel Drive,American Specs,N/A,Diesel,4,4,3 Seater,Perfect inside out,N/A,Used Hyundai H1 2019,"77,000",White
2017,Jurf,"140,000",3498,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,No,Used Nissan Maxima  3.5L S 2017,"36,000",Maroon
2016,Jurf,"135,000",2500,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,No,Used Toyota Camry  2.5L SE 2016,"36,000",White
2022,Al Awir,0,3956,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,2,3 Seater,Perfect inside out,N/A,New Toyota Land Cruiser Pick Up  4.0L Single Cab 2022,"125,000",Beige
2023,Al Shamkha,"1,700",3000,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,4,4 Seater,Perfect inside out,N/A,Used BMW 7 Series 740i 2023,"529,000",Blue
2023,Dubai,0,5800,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,8 Seater,Perfect inside out,N/A,New Infiniti QX80 5.6L Sensory ProActive 8 Seats   2023,"275,000",White
2017,Souq Al Haraj,"239,016",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Renault Duster  2017,"21,500",White
2020,Ras Al Khor,"44,781",3500,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,N/A,Perfect inside out,N/A,Used Lexus RX 350 2020,"112,000",Black
2020,Al Shamkha,"93,000",3000,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,4,4 Seater,Perfect inside out,N/A,Used BMW 7 Series 730Li 2020,"245,000",White
2014,Sharjah,"1,300,000",5000,Automatic,N/A,All Wheel Drive,GCC Specs,1,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Vogue SE Supercharged 2014,"105,000",Gold
2014,Sharjah,"140,000",6166,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Dodge Charger 6.2L SRT A/T 2014,"45,000",Black
2017,Sharjah,"90,000",N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,N/A,4,5 Seater,Perfect inside out,N/A,Used Hyundai Sonata 2017,"34,000",Gray
2018,Souq Al Haraj,"112,000",2996,Automatic,N/A,All Wheel Drive,GCC Specs,1,Petrol,6,5,5 Seater,Perfect inside out,No,Used Mercedes-Benz GLC Coupe 43 4MATIC 2018,"178,000",Black
2012,Sharjah,"150,000",3500,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,Used Honda Accord Crosstour 3.5L V6 2012,"31,000",Burgundy
2016,Sharjah,"150,000",N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Nissan Maxima 2016,"38,000",Gray
2015,Sharjah,"155,000",1997,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,2,4 Seater,Perfect inside out,N/A,Used BMW 4 Series Coupe 428i 2015,"58,000",White
2011,Sharjah,"120,000",1800,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz C-Class C 180 2011,"25,000",Black
2018,Sharjah,"53,000",1996,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Honda Accord 2.0T Sport 2018,"67,000",Gray
2017,Airport Street,"102,000",N/A,Automatic,Yes,All Wheel Drive,GCC Specs,1,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Ford Expedition EL  2017,"68,000",Other
2019,Souq Al Haraj,"109,000",3498,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,7 Seater,Perfect inside out,N/A,Used Nissan Pathfinder S 4WD 2019,"59,900",Black
2015,Al Shamkha,"156,000",1984,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Audi A3 Sedan Sport 40 2.0 TFSI 190 HP 2015,"54,000",Gray
2023,Ras Al Khor,449,2500,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Toyota Camry 2.5 S 2023,"68,000",Blue
2016,Ras Al Khor,"154,011",2494,CVT,N/A,All Wheel Drive,American Specs,N/A,Hybrid,4,5,5 Seater,Perfect inside out,N/A,Used Toyota Rav4 2.5L XLE Hybrid AWD 2016,"55,000",White
2015,Souq Al Haraj,"196,000",5000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Vogue HSE 2015,"129,000",Beige
2015,Souq Al Haraj,"160,000",2000,Manual,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,2,4 Seater,Perfect inside out,N/A,Used Volkswagen Scirocco 2.0L 2015,"39,000",Beige
2023,Ras Al Khor,0,3600,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,8 Seater,Perfect inside out,N/A,New Lexus LX 2023,"618,000",Black
2015,Souq Al Haraj,"140,000",5500,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz ML 63 AMG 5.5 2015,"95,000",Gray
2023,Ras Al Khor,0,2494,Manual,N/A,Rear Wheel Drive,Japanese Specs,N/A,Diesel,4,4,8 Seater,N/A,N/A,New Toyota Hiace 2.5L Commuter M/T 2023,Call for Price,White
2021,Al Awir,"24,500",3855,Automatic,Yes,Rear Wheel Drive,GCC Specs,1,Petrol,8,2,4 Seater,Perfect inside out,N/A,Used Ferrari Portofino M  3.9T V8 2021,"1,325,000",Burgundy
2015,Al Jarf,"196,000",3342,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Kia Carnival  3.3L Base 2015,"29,000",White
2014,Al Jarf,"122,000",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan Juke  1.6L 2014,"29,000",White
2016,Souq Al Haraj,"147,000",3600,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Porsche Cayenne Base 2016,"125,000",Bronze
2015,Souq Al Haraj,"165,000",5000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Vogue HSE 2015,"115,000",Beige
2019,Souq Al Haraj,"47,000",2400,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Toyota Rav4 4 Door 2.4L   2019,"95,000",Blue
2023,Souq Al Haraj,"4,000",N/A,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Toyota 4Runner 2023,"199,000",Black
2018,Sharjah,"65,000",N/A,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport Supercharged 2018,"210,000",White
2014,Souq Al Haraj,"227,000",5,Automatic,Yes,All Wheel Drive,GCC Specs,1,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz S 63 AMG 2014,"149,000",White
2014,Souq Al Haraj,"182,000",3982,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,4,5 Seater,N/A,N/A,Used Mercedes-Benz E 63 AMG S 4MATIC+ 2014,"105,000",White
2022,Al Jarf,"48,000",2500,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,Used Genesis GV70 3.5T Royal AWD 2022,"155,000",Gray
2023,Al Jarf,"3,500",1998,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Genesis G70 2.0T Premium 2023,"113,000",Green
2020,Al Jarf,"55,000",3600,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Jeep Grand Cherokee Limited 2020,"78,000",Maroon
2021,Mirdiff,"47,000",2500,Automatic,Yes,All Wheel Drive,GCC Specs,1,Petrol,4,5,7 Seater,Perfect inside out,N/A,Used Mazda CX-9  2.5T Ignite Edition (AWD) 2021,"144,000",Gray
2014,Souq Al Haraj,"146,000",4600,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,4,7 Seater,Perfect inside out,N/A,Used Lexus GX 460  4.6 2014,"102,000",Tan
2017,Al Muroor,"153,000",4759,Automatic,N/A,Rear Wheel Drive,GCC Specs,2,Petrol,6,4,N/A,Perfect inside out,N/A,Used Nissan Patrol Safari  4.8L M/T 2017,"85,000",Beige
2018,Al Jarf,"97,000",3498,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Nissan Maxima 3.5L SV 2018,"48,000",Black
2018,Al Mushrif,"80,000",4000,Automatic,N/A,Rear Wheel Drive,GCC Specs,2,Petrol,8,4,N/A,Perfect inside out,N/A,Used GMC Sierra Denali 2018,"122,000",Black
2017,Al Quoz,"184,700",1991,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz GLC-Class GLC 250 4MATIC 2017,"105,000",Brown
2015,Al Mushrif,"100,000",4000,N/A,N/A,Drive,GCC Specs,2,N/A,4,4,N/A,Perfect inside out,N/A,Used Mercedes-Benz GLE-Class 2015,"76,000",Tan
2011,Al Nahda,"109,000",2995,Automatic,N/A,All Wheel Drive,GCC Specs,2,Petrol,Not Sure,4,N/A,Perfect inside out,N/A,Used Audi Q7 2011,"37,000",Black
2014,Al Saja,"250,000",1598,Automatic,N/A,Front Wheel Drive,GCC Specs,1,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan Sentra 1.6L Sedan 2014,"23,000",Gray
2014,Al Mushrif,"100,000",4000,N/A,N/A,Drive,GCC Specs,2,N/A,6,2,N/A,Perfect inside out,N/A,Used Toyota Land Cruiser Pick Up 2014,"72,000",Tan
2020,Souq Al Haraj,"40,750",3800,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,8 Seater,Perfect inside out,N/A,Used Kia Telluride 3.8L V6 SX PKG BUTTER SCOTCH AWD  2020,"78,000",Black
2017,Mirdiff,"46,000",2000,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz GLC-Class GLC 300 2017,"88,000",Silver
2023,Al Awir,0,3293,Automatic,N/A,All Wheel Drive,European Specs,N/A,Diesel,6,5,8 Seater,Perfect inside out,N/A,New Toyota Land Cruiser 2023,"295,000",Black
2023,Ras Al Khor,"3,500",1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used MG - 6 STD 2023,"69,000",White
2018,Ras Al Khor,"112,902",2700,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,5,N/A,Perfect inside out,N/A,Used Toyota Fortuner  2.7L EXR 2018,"85,500",Silver
2017,Dubai,"86,338",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Renault Duster 2017,"35,999",Grey
